player_id,uniform_number,name,team,position,birth_day,height,weight,school
50105,100,강민,LG,투수,2001-04-20,188,88,수유초-홍은중-서울고
53103,117,강민균,LG,내야수,2000-07-17,178,81,강남초-서울이수중-덕수고-홍익대
55116,116,고영웅,LG,투수,2004-07-29,180,90,태전초(경기광주시리틀)-모가중-야로고BC-동원대
53104,124,곽민호,LG,내야수,2004-12-23,184,90,역삼초-자양중-배명고
69100,6,구본혁,LG,내야수,1997-01-11,177,75,중대초-잠신중-장충고-동국대-LG-상무
53168,132,권동혁,LG,외야수,2003-03-20,194,97,(천안유소년리틀)-온양중-라온고
77263,37,김강률,LG,투수,1988-08-28,187,95,문촌초(일산리틀)-장성중-경기고-두산-상무-두산
66145,12,김대현,LG,투수,1997-03-08,188,100,홍연초(마포구리틀)-홍은중-선린인터넷고
54107,,김도윤,LG,내야수,2005-02-17,180,71,화중초(덕양구리틀)-경기신일중-야탑고
67504,16,김민수,LG,내야수,1998-03-18,184,97,서화초-동산중-제물포고-롯데-경찰-롯데
53144,,김범석,LG,내야수,2004-05-21,178,110,김해삼성초-경남중-경남고
52105,44,김성우,LG,포수,2003-11-15,180,85,성동초-건대부중-배재고
69105,36,김성진,LG,내야수,2000-03-17,183,100,수원신곡초-매향중-야탑고
50115,103,김수인,LG,내야수,1997-10-19,178,81,광주화정초-자양중-신일고-중앙대
55167,67,김영우,LG,투수,2005-01-14,185,90,양원초(서대문구리틀)-신월중-서울고
68130,35,김영준,LG,투수,1999-01-12,185,90,인천연학초-선린중-선린인터넷고
55129,129,김웅,LG,투수,2002-05-10,191,96,동막초-동산중-인천고-강릉영동대
64596,0,김유영,LG,투수,1994-05-02,180,83,양정초-개성중-경남고-롯데-상무-롯데
68109,115,김의준,LG,투수,1999-10-16,183,80,학강초-광주동성중-광주동성고
55122,49,김종운,LG,투수,2006-09-11,186,85,국산초(거제시리틀)-동강중-창원공고야구단
66162,5,김주성,LG,내야수,1998-01-30,180,81,수원신곡초-덕수중-휘문고
65411,57,김주온,LG,투수,1996-12-08,187,89,울산대현초-구미중-울산공고-SK-SSG
62558,47,김준태,LG,포수,1994-07-31,175,91,양정초-개성중-경남고-(영남사이버대)-롯데-상무-롯데-KT
51104,120,김지용,LG,투수,2002-10-07,180,75,구리초(구리리틀)-구리인창중-라온고
75867,42,김진성,LG,투수,1985-03-07,186,90,인헌초-성남중-성남서고-SK-NC
51154,45,김진수,LG,투수,1998-08-31,179,82,이세초-군산중-군산상고-중앙대
76290,22,김현수,LG,외야수,1988-01-12,188,105,쌍문초-신일중-신일고-두산-볼티모어-필라델피아
54166,66,김현종,LG,외야수,2004-08-04,186,85,상인천초-동인천중-인천고
51103,102,김형욱,LG,투수,2002-01-29,187,90,동일중앙초-부산중-부산고
69102,2,문보경,LG,내야수,2000-07-19,182,88,송중초(동대문구리틀)-덕수중-신일고
68119,8,문성주,LG,외야수,1997-02-20,175,78,포항서초-포항제철중-경북고-강릉영동대
52121,53,문정빈,LG,내야수,2003-08-15,186,90,가동초-잠신중-서울고
54123,123,박건우,LG,내야수,1998-10-19,180,85,송정동초-광주동성중-광주동성고-단국대
55164,64,박관우,LG,외야수,2006-03-22,174,82,욱수초(경산시리틀)-경운중-경북고
79365,27,박동원,LG,포수,1990-04-07,178,92,양정초-개성중-개성고-히어로즈-상무-히어로즈-키움-KIA
53139,39,박명근,LG,투수,2004-03-27,174,75,수택초(구리리틀)-구리인창중-라온고
51112,106,박민호,LG,포수,1998-04-06,177,80,본리초-경상중-대구상원고-경남대
55121,19,박시원,LG,투수,2006-04-12,193,93,송수초(해운대리틀)-센텀중-경남고
62415,17,박해민,LG,외야수,1990-02-24,180,75,영중초-양천중-신일고-한양대-삼성
63145,25,배재준,LG,투수,1994-11-24,188,85,본리초-경상중-대구상원고
68096,114,백선기,LG,투수,1998-08-27,186,70,남도초-경상중-대구상원고-KT
65109,61,백승현,LG,투수,1995-05-26,183,90,소래초-상인천중-인천고
55160,60,서영준,LG,외야수,2006-03-18,186,90,화정초-진흥중-전주고
68159,34,성동현,LG,투수,1999-05-18,189,108,백마초-홍은중-장충고
55118,118,성준서,LG,투수,2006-04-09,190,96,빛가온초(광명리틀)-평촌중-경기항공고
54156,52,손용준,LG,내야수,2000-02-15,178,85,김해화정초(김해리틀)-내동중-김해고-동원과학기술대
67143,29,손주영,LG,투수,1998-12-02,191,95,울산대현초-개성중-경남고
53105,131,송대현,LG,내야수,2000-02-03,180,82,중대초-자양중-신일고-동국대
51111,13,송승기,LG,투수,2002-04-10,181,90,삼일초-매향중-야탑고-LG-상무
68110,14,송찬의,LG,외야수,1999-02-20,182,80,화곡초-선린중-선린인터넷고
65207,4,신민재,LG,내야수,1996-01-21,171,67,서흥초-동인천중-인천고
54108,,심규빈,LG,외야수,2001-03-27,181,81,잠전초(동대문구리틀)-언북중-서울고-성균관대
61411,28,심창민,LG,투수,1993-02-01,185,86,동삼초-경남중-경남고-삼성-상무-삼성-NC
55109,109,안시후,LG,투수,2006-05-02,190,84,신곡초-안산중앙중-부천고
65115,15,안익훈,LG,외야수,1996-02-12,176,76,대전신흥초-충남중-대전고
52123,127,양진혁,LG,투수,2003-06-20,190,90,효제초-성남중-성남고
52124,104,엄태경,LG,내야수,2003-05-03,184,83,광명광덕초(광명시리틀)-휘문중-휘문고
54119,,에르난데스,LG,투수,1995-05-03,185,97,베네수엘라 U.E.N Monsenor Perez Leon(고)-LG
53123,23,오스틴,LG,내야수,1993-10-14,183,97,미국 Klein Collins(고)
79109,10,오지환,LG,내야수,1990-03-12,185,80,군산초-자양중-경기고
51526,20,우강훈,LG,투수,2002-10-03,183,88,희망대초-매송중-야탑고-롯데
55111,110,우정안,LG,내야수,2006-01-03,181,79,의왕부곡초-서울이수중-덕수고
53101,126,원상훈,LG,투수,2004-10-23,192,95,모산초(홍성리틀)-외산중-한국KPOP고
50106,54,유영찬,LG,투수,1997-03-07,185,90,덕성초(안산리틀)-배명중-배명고-건국대
51110,105,이믿음,LG,투수,2000-07-18,188,80,노암초-경포중-강릉고-강릉영동대
51100,7,이영빈,LG,내야수,2002-06-17,182,82,대전동산초(대전중구리틀)-충남중-세광고-LG-상무
61145,21,이우찬,LG,투수,1992-08-04,185,97,온양온천초-온양중-북일고-LG-경찰
69134,31,이정용,LG,투수,1996-03-26,185,83,영일초-성남중-성남고-동아대-LG-상무
96153,,이정준,LG,,1977-06-18,,,한서고-LG
50904,40,이종준,LG,투수,2001-03-09,191,93,군산중앙초-군산남중-군산상고
52154,26,이주헌,LG,포수,2003-03-04,185,92,서울이수초-성남중-성남고
53160,133,이준서,LG,외야수,2004-11-18,187,85,역삼초-언북중-서울고
69108,32,이지강,LG,투수,1999-07-02,183,85,수원선일초-수원북중-소래고
55165,65,이태훈,LG,내야수,2006-08-21,183,83,가동초-덕수중-경동고
55100,00,이한림,LG,포수,2006-11-18,182,92,해남동초(해남군리틀)-화순중-전주고
53100,125,임정균,LG,투수,2004-05-10,190,92,양정초-대천중-부산고
61101,1,임찬규,LG,투수,1992-11-20,185,80,가동초-청원중-휘문고-LG-경찰
63950,50,장현식,LG,투수,1995-02-24,181,91,신도초-서울이수중-서울고-NC-경찰-NC-KIA
68869,128,전경원,LG,포수,1999-03-18,184,95,연현초-성남중-성남고-SK-상무-SSG
67123,111,전준호,LG,투수,1998-07-01,181,80,양도초-강남중-청원고
69159,18,정우영,LG,투수,1999-08-19,193,99,가평초-강남중-서울고
54149,,정지헌,LG,투수,2003-01-01,180,85,동수원초(수원영통리틀)-매향중-유신고-고려대(얼리 드래프트)-LG-상무
51163,101,조건희,LG,투수,2002-03-26,184,84,계상초(노원구리틀)-상명중-서울고
52149,130,조원태,LG,투수,2003-05-10,186,92,토성초(강동구리틀)-건대부중-선린인터넷고
54148,48,진우영,LG,투수,2001-02-05,188,97,성동초-글로벌선진학교
50054,59,천성호,LG,내야수,1997-10-30,183,85,광주화정초-충장중-진흥고-단국대-KT-상무-KT
65905,62,최승민,LG,외야수,1996-07-01,181,73,서울학동초-대치중-신일고-상무-NC
52163,112,최용하,LG,투수,2002-11-29,183,84,응암초(서대문구리틀)-동도중-서울디자인고
52103,3,최원영,LG,외야수,2003-07-18,174,76,부산수영초-사직중-부산고
68419,56,최채흥,LG,투수,1995-01-22,186,97,동천초-포항중-대구상원고-한양대-삼성-상무-삼성
55163,63,추세현,LG,투수,2006-04-19,187,90,성신초(서울중구리틀)-청량중-경기상고
55146,46,치리노스,LG,투수,1993-12-26,188,102,베네수엘라 U.E.N heroes nigales(고)
55138,,코엔 윈,LG,투수,1999-01-25,193,86,호주 Grand Canyon(대)-LG
55130,30,톨허스트,LG,투수,1999-09-13,193,86,미국 Grossmont(고)
50107,119,하영진,LG,투수,2001-02-28,182,80,안산상록초-원주중-원주고
63248,11,함덕주,LG,투수,1995-01-13,181,78,일산초-원주중-원주고-두산
50108,24,함창건,LG,외야수,2001-08-18,176,83,백운초-충암중-충암고
53102,43,허용주,LG,투수,2003-06-05,194,88,사파초-마산동중-용마고
52119,58,허준혁,LG,투수,1999-07-02,180,85,가평초(가평군리틀)-영동중-경기고-한일장신대-LG-상무
66108,51,홍창기,LG,외야수,1993-11-21,189,94,대일초-매송중-안산공고-건국대-LG-경찰
50705,39,강재민,한화,투수,1997-04-03,180,89,양덕초-마산중-용마고-단국대
52769,17,권광민,한화,내야수,1997-12-12,189,102,서울청구초-홍은중-장충고
55764,64,권민규,한화,투수,2006-05-13,188,90,청주석교초-세광중-세광고
69702,56,김건,한화,내야수,2000-02-23,183,79,양정초-개성중-경남고
52703,116,김겸재,한화,투수,1998-12-10,187,88,부산남산초(부산동래마린스리틀)-대천중-부산정보고-단국대
53701,112,김관우,한화,투수,2003-09-07,182,97,양산북정초(경남양산리틀)-경남중-마산고
51713,,김규연,한화,투수,2002-08-23,183,91,동수원초(수원영통구리틀)-매향중-공주고-한화-상무
51715,15,김기중,한화,투수,2002-11-16,186,96,의왕부곡초-매송중-유신고
54705,62,김도빈,한화,투수,2001-01-05,190,95,서화초-경기신흥중-성지고-강릉영동대
65764,53,김민우,한화,투수,1995-07-25,186,123,사파초-마산중-용마고
65769,47,김범수,한화,투수,1995-10-03,181,92,온양온천초-온양중-북일고
50710,110,김범준,한화,투수,2000-09-30,175,79,서울도곡초-글로벌선진중-충암고
53754,44,김서현,한화,투수,2004-05-31,188,86,효제초-자양중-서울고
50711,14,김승일,한화,투수,2001-07-07,183,85,해강초(해운대리틀)-센텀중-경남고
53708,114,김예준,한화,내야수,2004-10-28,182,78,인천당하초(인천서구리틀)-재능중-강릉고
66715,37,김인환,한화,내야수,1994-01-28,186,100,화순초-화순중-화순고-성균관대
63765,38,김종수,한화,투수,1994-06-03,180,88,성동초-덕수중-울산공고
66704,25,김태연,한화,외야수,1997-06-10,178,96,서울청구초-덕수중-야탑고
53702,118,김해찬,한화,외야수,2004-05-25,178,91,대전유천초-한밭중-대전고
52717,117,노석진,한화,내야수,2003-01-31,187,89,본리초-대구중-세광고
69737,8,노시환,한화,내야수,2000-12-03,185,105,부산수영초-경남중-경남고
76715,99,류현진,한화,투수,1987-03-25,190,113,창영초-동산중-동산고-(대전대)-한화-LA다저스-토론토
55703,0,리베라토,한화,외야수,1995-12-18,185,79,Esperanza Milena Martinez (고)
52701,1,문동주,한화,투수,2003-12-23,188,97,광주화정초-무등중-진흥고
51705,,문승진,한화,투수,2002-04-02,185,91,서울청구초-홍은중-서울고-한화
53764,51,문현빈,한화,내야수,2004-04-20,174,82,대전유천초-온양중-북일고
52711,115,민승기,한화,투수,2001-07-06,181,89,서울신내초(중랑구리틀)-청량중-경동고-여주대-한화
55711,111,박부성,한화,투수,2000-01-17,185,85,마포초(용산구리틀)-선린중-배명고-동의대
66707,42,박상언,한화,포수,1997-03-03,185,90,무원초-영남중-유신고-한화-상무
67703,58,박상원,한화,투수,1994-09-09,187,98,백운초-서울이수중-휘문고-연세대
55705,,박상현,한화,투수,2005-01-06,184,83,안산슬기초(안산리틀)-안산중-안산공고
68703,103,박성웅,한화,투수,1999-08-20,178,109,광주서석초-충장중-광주제일고
53706,119,박재규,한화,투수,2003-07-03,181,83,울산대현초-신정중-개성고
50709,63,박정현,한화,내야수,2001-07-27,183,83,부천북초-부천중-유신고-한화-상무
52731,96,박준영,한화,투수,2003-03-02,190,103,청주우암초(청주시리틀)-세광중-세광고
51761,61,배동현,한화,투수,1998-03-16,183,83,판곡초(양평리틀)-언북중-경기고-한일장신대-한화-상무
69974,45,배민서,한화,투수,1999-11-18,184,90,대구수창초-경운중-대구상원고-NC-상무-NC
55798,98,배승수,한화,내야수,2006-05-15,184,73,가동초-자양중-덕수고
53711,,성지훈,한화,투수,2000-01-29,181,68,송정동초-무등중-광주제일고-동아대
77532,31,손아섭,한화,외야수,1988-03-18,174,84,양정초-개성중-부산고-롯데-NC
51767,54,송호정,한화,내야수,2002-03-10,185,78,수유초-자양중-서울고
53717,69,신우재,한화,내야수,1997-11-16,183,97,인천숭의초-자양중-세광고-인천재능대
64006,2,심우준,한화,내야수,1995-04-28,183,75,송정동초-언북중-경기고-(영남사이버대)-KT-상무-KT
51704,01,안진,한화,포수,2002-11-26,183,90,인헌초-영남중-경기상고
79608,3,안치홍,한화,내야수,1990-07-02,178,97,구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA-롯데
50813,101,양선률,한화,투수,1997-04-15,186,91,학강초-화순중-화순고-동아대-SK-SSG
65056,11,엄상백,한화,투수,1996-10-04,187,72,역삼초-언북중-덕수고-KT-상무-KT
55707,107,엄상현,한화,투수,2004-07-06,175,80,중대초(의정부리틀)-건대부중-장충고-홍익대(얼리 드래프트)
55708,108,엄요셉,한화,투수,2006-05-29,190,94,오산광성초(오산시리틀)-성일중-구리인창고
54755,55,와이스,한화,투수,1996-12-10,193,95,미국 Wright State(대)
54702,48,원종혁,한화,투수,2005-08-27,184,92,서울도곡초-휘문중-구리인창고
69766,33,유로결,한화,외야수,2000-05-30,186,83,광주서림초-광주동성중-광주제일고
52765,97,유민,한화,외야수,2003-01-20,187,92,역삼초-대치중-배명고
63464,5,윤대경,한화,투수,1994-04-09,179,81,인천서림초-동인천중-인천고-삼성
69213,49,윤산흠,한화,투수,1999-05-15,178,75,광주화정초-진흥중-영선고-두산-상무
54703,100,이기창,한화,투수,2005-04-21,184,88,새빛초(수원영통구리틀)-매향중-유신고
65703,7,이도윤,한화,내야수,1996-10-07,175,79,고명초-배재중-북일고
55704,104,이동영,한화,투수,2006-04-09,185,85,남도초-경상중-대구상원고
65616,27,이민우,한화,투수,1993-02-09,185,104,순천북초-순천이수중-효천고-경성대-KIA
55710,57,이민재,한화,외야수,2004-03-07,184,80,호동초(안산리틀)-안산중-비봉고-동원과학기술대
65117,18,이상규,한화,투수,1996-10-20,185,77,흥인초-청원중-청원고-LG
52704,9,이상혁,한화,외야수,2001-09-14,174,65,수원영화초(군포시리틀)-수원북중-장안고-강릉영동대
52714,93,이성민,한화,투수,2002-09-28,191,92,남부민초-부산중-부경고
55712,60,이승현,한화,내야수,2002-07-23,172,77,부천상인초(원미구리틀)-부천중-포항제철고-성균관대
68700,50,이원석,한화,외야수,1999-03-31,177,80,화곡초-충암중-충암고
76812,20,이재원,한화,포수,1988-02-24,185,98,인천숭의초-상인천중-인천고-SK-상무-SK-SSG
55706,106,이지성,한화,내야수,2005-11-29,180,78,세류초(장안구리틀)-개군중-라온고
66657,10,이진영,한화,외야수,1997-07-21,183,89,둔촌초-선린중-선린인터넷고-KIA-경찰-KIA
63749,19,이충호,한화,투수,1994-09-20,182,82,인헌초-선린중-충암고
60768,46,이태양,한화,투수,1990-07-03,192,97,여수서초-여수중-효천고-한화-SK-SSG
50704,24,임종찬,한화,외야수,2001-09-28,184,85,청주우암초-청주중-북일고
51762,32,장규현,한화,포수,2002-06-28,183,96,인성초(미추홀구리틀)-동인천중-인천고-한화-상무
79764,36,장민재,한화,투수,1990-03-19,184,106,광주화정초-무등중-광주제일고
77318,28,장시환,한화,투수,1987-11-01,184,97,태안초-태안중-북일고-현대-히어로즈-상무-히어로즈-KT-롯데
69645,40,장지수,한화,투수,2000-05-25,179,80,사당초-강남중-성남고-KIA-상무-KIA
51764,65,정민규,한화,내야수,2003-01-10,183,101,광일초(부산서구리틀)-경남중-부산고-한화-상무
54794,,정안석,한화,외야수,2005-01-26,183,78,염동초(강서구리틀)-서울신월중-휘문고
55743,43,정우주,한화,투수,2006-11-07,184,88,구남초(남양주리틀)-건대부중-전주고
69767,34,정이황,한화,투수,2000-03-07,190,89,부산수영초-경남중-부산고
54768,68,조동욱,한화,투수,2004-11-02,190,82,소래초-영남중-장충고
69705,4,조한민,한화,내야수,2000-10-20,182,77,군산중앙초-군산중-대전고-한화-상무
65707,66,주현상,한화,투수,1992-08-10,177,92,청주우암초-청주중-청주고-동아대
79192,22,채은성,한화,내야수,1990-02-06,186,92,순천북초-순천이수중-효천고-LG
53705,105,최원준,한화,내야수,2004-05-01,188,84,청주남평초(청주시리틀)-세광중-청담고
50707,41,최인호,한화,외야수,2000-01-30,178,82,송정동초-광주동성중-포항제철고-한화-상무
78288,13,최재훈,한화,포수,1989-08-27,178,94,화곡초-덕수중-덕수고-(방송통신대)-두산-경찰-두산
55709,109,최주원,한화,투수,2006-01-11,185,85,경기안성초(안성시리틀)-평택청담중-북일고
54710,,최준서,한화,외야수,2000-06-29,182,77,인천숭의초-율곡중-율곡고-동국대
55730,30,폰세,한화,투수,1994-04-25,198,115,미국 California State(대)
55734,,플로리얼,한화,외야수,1997-11-25,185,88,도미니카-한화
62700,16,하주석,한화,내야수,1994-02-25,185,92,강남초-덕수중-신일고-한화-상무
52710,6,한경빈,한화,내야수,1998-12-11,178,69,인천서림초-상인천중-동산고-인천재능대
53703,102,한서구,한화,투수,2003-12-04,191,98,석교초-세광중-대전고
61666,26,한승혁,한화,투수,1993-01-03,185,100,도신초-강남중-덕수고-(남부대)-KIA
55767,67,한지윤,한화,포수,2006-04-10,188,98,가동초-휘문중-경기상고
69706,12,허관회,한화,포수,1999-02-12,176,93,경동초(의정부리틀)-건대부중-경기고
52764,59,허인서,한화,포수,2003-07-11,182,93,순천북초-여수중-효천고-한화-상무
54795,95,황영묵,한화,내야수,1999-10-16,177,80,수진초-성일중-충훈고
54729,29,황준서,한화,투수,2005-08-22,185,78,면일초(중랑구리틀)-상명중-장충고
51868,18,고명준,SSG,내야수,2002-07-08,185,94,서원초-세광중-세광고-SK
71837,,김강민,SSG,외야수,1982-09-13,182,87,본리초-대구중-경북고-SK-SSG-한화
51867,39,김건우,SSG,투수,2002-07-12,185,88,가현초(인천서구리틀)-동산중-제물포고-SK-SSG-상무
77829,29,김광현,SSG,투수,1988-07-22,188,88,덕성초(안산리틀)-안산중앙중-안산공고-SK-세인트루이스
54810,61,김규민,SSG,포수,2002-08-23,180,94,동수원초(수원영통구리틀)-매향중-공주고-여주대
52844,05,김도현,SSG,투수,2003-05-24,179,89,삼송초-연세중-백송고
68043,41,김민,SSG,투수,1999-04-14,185,88,인천숭의초-평촌중-유신고-KT-상무-KT
62864,24,김민식,SSG,포수,1989-06-28,180,80,양덕초-마산중-마산고-원광대-SK-상무-SK-KIA
50848,56,김성민,SSG,투수,2001-04-30,184,88,서울학동초-자양중-경기고-SK
62934,47,김성욱,SSG,외야수,1993-05-01,181,83,광주서림초-충장중-진흥고-NC-상무-NC
76802,6,김성현,SSG,내야수,1987-03-09,172,72,송정동초-충장중-광주제일고-SK-상무-SK
67900,4,김수윤,SSG,내야수,1998-07-16,180,83,김해삼성초-개성중-부산고-NC
53865,04,김정민,SSG,외야수,2004-03-07,180,75,광안초(부산수영구리틀)-경남중-경남고
53805,03,김준영,SSG,투수,2003-11-18,178,83,변동초(대전중구리틀)-충남중-세광고
66917,5,김찬형,SSG,내야수,1997-12-29,182,83,양정초-경남중-경남고-NC-SSG-상무
69825,64,김창평,SSG,외야수,2000-06-14,185,85,학강초-무등중-광주제일고-SK
52803,36,김태윤,SSG,내야수,2003-02-28,170,65,창우초(하남시리틀)-배명중-배명고
65343,43,김택형,SSG,투수,1996-10-10,185,90,창영초-재능중-동산고-히어로즈-SK-SSG-상무
55895,95,김현재,SSG,투수,2006-07-03,177,78,대전새여울초(대전유성리틀)-한밭중-대전고
73211,38,노경은,SSG,투수,1984-03-11,187,100,화곡초-성남중-성남고-두산-롯데
55802,02,도재현,SSG,투수,2001-03-08,193,103,오산대원초(오산리틀)-율곡중-율곡고-사이버한국외대
50868,45,류효승,SSG,외야수,1996-07-16,190,100,칠성초-경상중-대구상원고-성균관대-SK
55844,,맥브룸,SSG,외야수,1992-04-09,190,99,미국 West Virginia(대)-SSG
62869,42,문승원,SSG,투수,1989-11-28,180,88,가동초-배명중-배명고-고려대-SK-상무-SK
54802,66,박기호,SSG,투수,2005-07-26,184,80,샛별초(청주시리틀)-현도중-청주고
64944,,박대온,SSG,포수,1995-08-28,182,85,서울도곡초-서울이수중-휘문고-NC-SSG
50592,07,박명현,SSG,투수,2001-06-16,185,80,부천북초-대원중-야탑고-롯데
52864,06,박상후,SSG,투수,2003-08-05,187,87,칠성초(수성리틀)-대구중-경북고
54807,00,박성빈,SSG,투수,2003-12-29,187,92,서울도곡초(강남구리틀)-대치중-휘문고-사이버한국외대(얼리 드래프트)
67893,2,박성한,SSG,내야수,1998-03-30,180,77,순천북초-여수중-효천고-SK-상무-SK
50812,57,박시후,SSG,투수,2001-05-10,182,88,상인천초-상인천중-인천고-SK
51860,58,박정빈,SSG,외야수,2002-06-14,182,80,효제초-청량중-경기고
60841,50,박종훈,SSG,투수,1991-08-13,186,90,군산중앙초-군산중-군산상고-SK-상무-SK
54805,1,박지환,SSG,내야수,2005-07-12,183,75,군산남초-군산중-세광고
69839,11,백승건,SSG,투수,2000-10-29,183,85,동막초-상인천중-인천고-SK-상무
54814,,백준서,SSG,외야수,2005-09-26,181,89,불정초(분당구리틀)-대원중-덕수고
61895,22,서진용,SSG,투수,1992-10-02,184,88,남부민초-대동중-경남고-상무-SK
52804,52,석정우,SSG,내야수,1999-01-20,180,82,동일중앙초-경남중-경남고-연세대
